,images,paths,caption,path1,path2,name1,name2
0,image 1: a large clock tower towering over a city	,"cp ""./cv/images/035669.jpg"" vis/imgs/img1.jpg	",a large clock tower towering over a city,"""./cv/images/035669.jpg""",vis/imgs/img1.jpg	,035669.jpg,img1.jpg
1,image 2: a woman is holding a cell phone in her hand	,"cp ""./cv/images/036736.jpg"" vis/imgs/img2.jpg	",a woman is holding a cell phone in her hand,"""./cv/images/036736.jpg""",vis/imgs/img2.jpg	,036736.jpg,img2.jpg
2,image 3: a herd of animals grazing on a lush green hillside	,"cp ""./cv/images/021069.jpg"" vis/imgs/img3.jpg	",a herd of animals grazing on a lush green hillside,"""./cv/images/021069.jpg""",vis/imgs/img3.jpg	,021069.jpg,img3.jpg
3,image 4: a sign that says UNK UNK on the side of it	,"cp ""./cv/images/003021.jpg"" vis/imgs/img4.jpg	",a sign that says UNK UNK on the side of it,"""./cv/images/003021.jpg""",vis/imgs/img4.jpg	,003021.jpg,img4.jpg
4,image 5: a couple of people that are in a field	,"cp ""./cv/images/006736.jpg"" vis/imgs/img5.jpg	",a couple of people that are in a field,"""./cv/images/006736.jpg""",vis/imgs/img5.jpg	,006736.jpg,img5.jpg
5,image 6: a black and white photo of a person holding an umbrella	,"cp ""./cv/images/009497.jpg"" vis/imgs/img6.jpg	",a black and white photo of a person holding an umbrella,"""./cv/images/009497.jpg""",vis/imgs/img6.jpg	,009497.jpg,img6.jpg
6,image 7: a woman is standing on a sidewalk with a cell phone	,"cp ""./cv/images/024736.jpg"" vis/imgs/img7.jpg	",a woman is standing on a sidewalk with a cell phone,"""./cv/images/024736.jpg""",vis/imgs/img7.jpg	,024736.jpg,img7.jpg
7,image 8: a street scene with focus on the side of the road	,"cp ""./cv/images/009042.jpg"" vis/imgs/img8.jpg	",a street scene with focus on the side of the road,"""./cv/images/009042.jpg""",vis/imgs/img8.jpg	,009042.jpg,img8.jpg
8,image 9: a bird is sitting on a branch of a tree	,"cp ""./cv/images/014209.jpg"" vis/imgs/img9.jpg	",a bird is sitting on a branch of a tree,"""./cv/images/014209.jpg""",vis/imgs/img9.jpg	,014209.jpg,img9.jpg
9,image 10: a view of a mountain range from a plane	,"cp ""./cv/images/001505.jpg"" vis/imgs/img10.jpg	",a view of a mountain range from a plane,"""./cv/images/001505.jpg""",vis/imgs/img10.jpg	,001505.jpg,img10.jpg
10,image 11: a tree is in the middle of the water	,"cp ""./cv/images/032067.jpg"" vis/imgs/img11.jpg	",a tree is in the middle of the water,"""./cv/images/032067.jpg""",vis/imgs/img11.jpg	,032067.jpg,img11.jpg
11,image 12: a person is standing in front of a window	,"cp ""./cv/images/010008.jpg"" vis/imgs/img12.jpg	",a person is standing in front of a window,"""./cv/images/010008.jpg""",vis/imgs/img12.jpg	,010008.jpg,img12.jpg
12,image 13: a table with a vase of flowers and a vase of flowers	,"cp ""./cv/images/015260.jpg"" vis/imgs/img13.jpg	",a table with a vase of flowers and a vase of flowers,"""./cv/images/015260.jpg""",vis/imgs/img13.jpg	,015260.jpg,img13.jpg
13,image 14: a clock tower in the middle of a city	,"cp ""./cv/images/026332.jpg"" vis/imgs/img14.jpg	",a clock tower in the middle of a city,"""./cv/images/026332.jpg""",vis/imgs/img14.jpg	,026332.jpg,img14.jpg
14,image 15: a person is standing in the rain with an umbrella	,"cp ""./cv/images/018867.jpg"" vis/imgs/img15.jpg	",a person is standing in the rain with an umbrella,"""./cv/images/018867.jpg""",vis/imgs/img15.jpg	,018867.jpg,img15.jpg
15,image 16: a man and a woman walking down a street	,"cp ""./cv/images/003614.jpg"" vis/imgs/img16.jpg	",a man and a woman walking down a street,"""./cv/images/003614.jpg""",vis/imgs/img16.jpg	,003614.jpg,img16.jpg
16,image 17: a man riding a skateboard down a street	,"cp ""./cv/images/022556.jpg"" vis/imgs/img17.jpg	",a man riding a skateboard down a street,"""./cv/images/022556.jpg""",vis/imgs/img17.jpg	,022556.jpg,img17.jpg
17,image 18: a large ship is docked in a harbor	,"cp ""./cv/images/004141.jpg"" vis/imgs/img18.jpg	",a large ship is docked in a harbor,"""./cv/images/004141.jpg""",vis/imgs/img18.jpg	,004141.jpg,img18.jpg
18,image 19: a person holding a cell phone in their hand	,"cp ""./cv/images/009666.jpg"" vis/imgs/img19.jpg	",a person holding a cell phone in their hand,"""./cv/images/009666.jpg""",vis/imgs/img19.jpg	,009666.jpg,img19.jpg
19,image 20: a man in a hat is holding a UNK	,"cp ""./cv/images/030228.jpg"" vis/imgs/img20.jpg	",a man in a hat is holding a UNK,"""./cv/images/030228.jpg""",vis/imgs/img20.jpg	,030228.jpg,img20.jpg
20,image 21: a picture of a person holding a remote	,"cp ""./cv/images/025342.jpg"" vis/imgs/img21.jpg	",a picture of a person holding a remote,"""./cv/images/025342.jpg""",vis/imgs/img21.jpg	,025342.jpg,img21.jpg
21,image 22: a person sitting on the ground with a skateboard	,"cp ""./cv/images/007229.jpg"" vis/imgs/img22.jpg	",a person sitting on the ground with a skateboard,"""./cv/images/007229.jpg""",vis/imgs/img22.jpg	,007229.jpg,img22.jpg
22,image 23: a pair of scissors on a wooden table	,"cp ""./cv/images/029449.jpg"" vis/imgs/img23.jpg	",a pair of scissors on a wooden table,"""./cv/images/029449.jpg""",vis/imgs/img23.jpg	,029449.jpg,img23.jpg
23,image 24: a person is holding a glass of wine	,"cp ""./cv/images/022915.jpg"" vis/imgs/img24.jpg	",a person is holding a glass of wine,"""./cv/images/022915.jpg""",vis/imgs/img24.jpg	,022915.jpg,img24.jpg
24,image 25: a bus is parked on the side of the street	,"cp ""./cv/images/033824.jpg"" vis/imgs/img25.jpg	",a bus is parked on the side of the street,"""./cv/images/033824.jpg""",vis/imgs/img25.jpg	,033824.jpg,img25.jpg
25,image 26: a vase filled with flowers on top of a table	,"cp ""./cv/images/035821.jpg"" vis/imgs/img26.jpg	",a vase filled with flowers on top of a table,"""./cv/images/035821.jpg""",vis/imgs/img26.jpg	,035821.jpg,img26.jpg
26,image 27: a close up of a bird on a branch	,"cp ""./cv/images/016815.jpg"" vis/imgs/img27.jpg	",a close up of a bird on a branch,"""./cv/images/016815.jpg""",vis/imgs/img27.jpg	,016815.jpg,img27.jpg
27,image 28: a dog and a dog are playing with a frisbee	,"cp ""./cv/images/029651.jpg"" vis/imgs/img28.jpg	",a dog and a dog are playing with a frisbee,"""./cv/images/029651.jpg""",vis/imgs/img28.jpg	,029651.jpg,img28.jpg
28,image 29: a blender is on a table with a banana	,"cp ""./cv/images/030583.jpg"" vis/imgs/img29.jpg	",a blender is on a table with a banana,"""./cv/images/030583.jpg""",vis/imgs/img29.jpg	,030583.jpg,img29.jpg
29,image 30: a cat laying on the grass with a frisbee in its mouth	,"cp ""./cv/images/001499.jpg"" vis/imgs/img30.jpg	",a cat laying on the grass with a frisbee in its mouth,"""./cv/images/001499.jpg""",vis/imgs/img30.jpg	,001499.jpg,img30.jpg
30,image 31: a picture of a snow board in a snowy field	,"cp ""./cv/images/007842.jpg"" vis/imgs/img31.jpg	",a picture of a snow board in a snowy field,"""./cv/images/007842.jpg""",vis/imgs/img31.jpg	,007842.jpg,img31.jpg
31,image 32: a cat sitting on a chair in a room	,"cp ""./cv/images/011308.jpg"" vis/imgs/img32.jpg	",a cat sitting on a chair in a room,"""./cv/images/011308.jpg""",vis/imgs/img32.jpg	,011308.jpg,img32.jpg
32,image 33: a red apple and a green apple on a tree	,"cp ""./cv/images/035082.jpg"" vis/imgs/img33.jpg	",a red apple and a green apple on a tree,"""./cv/images/035082.jpg""",vis/imgs/img33.jpg	,035082.jpg,img33.jpg
33,image 34: a cat sitting on the ground in front of a window	,"cp ""./cv/images/018163.jpg"" vis/imgs/img34.jpg	",a cat sitting on the ground in front of a window,"""./cv/images/018163.jpg""",vis/imgs/img34.jpg	,018163.jpg,img34.jpg
34,image 35: a little boy holding a red suitcase and a red shirt	,"cp ""./cv/images/016597.jpg"" vis/imgs/img35.jpg	",a little boy holding a red suitcase and a red shirt,"""./cv/images/016597.jpg""",vis/imgs/img35.jpg	,016597.jpg,img35.jpg
35,image 36: a woman is standing on a sidewalk with a cell phone	,"cp ""./cv/images/016002.jpg"" vis/imgs/img36.jpg	",a woman is standing on a sidewalk with a cell phone,"""./cv/images/016002.jpg""",vis/imgs/img36.jpg	,016002.jpg,img36.jpg
36,image 37: a large building with a clock tower on top	,"cp ""./cv/images/007103.jpg"" vis/imgs/img37.jpg	",a large building with a clock tower on top,"""./cv/images/007103.jpg""",vis/imgs/img37.jpg	,007103.jpg,img37.jpg
37,image 38: a large building with a clock on the side of it	,"cp ""./cv/images/028455.jpg"" vis/imgs/img38.jpg	",a large building with a clock on the side of it,"""./cv/images/028455.jpg""",vis/imgs/img38.jpg	,028455.jpg,img38.jpg
38,image 39: a person holding a pair of scissors in a box	,"cp ""./cv/images/036316.jpg"" vis/imgs/img39.jpg	",a person holding a pair of scissors in a box,"""./cv/images/036316.jpg""",vis/imgs/img39.jpg	,036316.jpg,img39.jpg
